item,itemLabel,image,article,utgivelsesdato
"http://www.wikidata.org/entity/Q5251322","Defenders of Ardania MD-02","http://commons.wikimedia.org/wiki/Special:FilePath/Defenders%20of%20Ardania%204.jpeg","https://en.wikipedia.org/wiki/Defenders_of_Ardania","2012-03-14T00:00:00Z"
"http://www.wikidata.org/entity/Q1988780","Driver: San Francisco","http://commons.wikimedia.org/wiki/Special:FilePath/E3%202011%20-%20Driver%20San%20Francisco%20Dodge%20Challenger%20%28Ubisoft%29%20%285831103758%29.jpg","https://en.wikipedia.org/wiki/Driver:_San_Francisco","2012-03-08T00:00:00Z"
"http://www.wikidata.org/entity/Q1089882","Mari0","http://commons.wikimedia.org/wiki/Special:FilePath/Mari0%20%28mari-zero%29%20logo.png","https://en.wikipedia.org/wiki/Mari0","2012-03-03T00:00:00Z"
"http://www.wikidata.org/entity/Q13515768","Angry Birds Friends","http://commons.wikimedia.org/wiki/Special:FilePath/Angry%20Birds%20logo%202015.svg","https://en.wikipedia.org/wiki/Angry_Birds_Friends","2012-02-13T00:00:00Z"
"http://www.wikidata.org/entity/Q3815397","King Arthur II: The Role-Playing Wargame","http://commons.wikimedia.org/wiki/Special:FilePath/King%20Arthur%20II%20screenshot%208.jpg","https://en.wikipedia.org/wiki/King_Arthur_II:_The_Role-Playing_Wargame","2012-01-27T00:00:00Z"
"http://www.wikidata.org/entity/Q17445286","Puzzlejuice","http://commons.wikimedia.org/wiki/Special:FilePath/Puzzlejuice%20screenshot%201.png","https://en.wikipedia.org/wiki/Puzzlejuice","2012-01-19T00:00:00Z"
"http://www.wikidata.org/entity/Q189784","Doom","http://commons.wikimedia.org/wiki/Special:FilePath/Doom%20classic%20box%20art.png","https://no.wikipedia.org/wiki/Doom_(1993)","2012-01-18T00:00:00Z"
"http://www.wikidata.org/entity/Q7525105","Sintel The Game","http://commons.wikimedia.org/wiki/Special:FilePath/Sintel%20The%20Game%20Docks.png","https://en.wikipedia.org/wiki/Sintel_The_Game","2012-01-01T00:00:00Z"
"http://www.wikidata.org/entity/Q18149471","Dragon City","http://commons.wikimedia.org/wiki/Special:FilePath/Dragon%20City%20gameplay%202022.jpg","https://en.wikipedia.org/wiki/Dragon_City","2012-01-01T00:00:00Z"
"http://www.wikidata.org/entity/Q498469","Postal III","http://commons.wikimedia.org/wiki/Special:FilePath/Postal%20III%20logo%20dark.png","https://en.wikipedia.org/wiki/Postal_III","2011-12-21T00:00:00Z"
"http://www.wikidata.org/entity/Q3858424","Minicraft","http://commons.wikimedia.org/wiki/Special:FilePath/Minicraft%20Title%20Screen.png","https://en.wikipedia.org/wiki/Minicraft","2011-12-19T00:00:00Z"
"http://www.wikidata.org/entity/Q2632229","Trine 2","http://commons.wikimedia.org/wiki/Special:FilePath/Trine%202%20-%20Searock%20Castle%20Octopus.jpg","https://en.wikipedia.org/wiki/Trine_2","2011-12-07T00:00:00Z"
"http://www.wikidata.org/entity/Q115508","The Idolmaster Cinderella Girls","http://commons.wikimedia.org/wiki/Special:FilePath/THE%20IDOLM%40STER%20CINDERELLA%20GIRLS%20Logo.png","https://en.wikipedia.org/wiki/The_Idolmaster_Cinderella_Girls","2011-11-28T00:00:00Z"
"http://www.wikidata.org/entity/Q49740","Minecraft","http://commons.wikimedia.org/wiki/Special:FilePath/Minecraft%20Alex%20and%20fauna.png","https://nn.wikipedia.org/wiki/Minecraft","2011-11-18T00:00:00Z"
"http://www.wikidata.org/entity/Q27816899","SpellTower","http://commons.wikimedia.org/wiki/Special:FilePath/SpellTower%20screenshot%20-%20RushMode.png","https://en.wikipedia.org/wiki/SpellTower","2011-11-17T00:00:00Z"
"http://www.wikidata.org/entity/Q1801455","Saints Row: The Third","http://commons.wikimedia.org/wiki/Special:FilePath/E3%202011%20-%20free%20parking%20and%20car%20washes%20courtesy%20of%20Saints%20Row%20The%20Third%20%285822102021%29.jpg","https://no.wikipedia.org/wiki/Saints_Row:_The_Third","2011-11-15T00:00:00Z"
"http://www.wikidata.org/entity/Q7353776","Rochard","http://commons.wikimedia.org/wiki/Special:FilePath/Rochard%20Cover.PNG","https://en.wikipedia.org/wiki/Rochard","2011-11-15T00:00:00Z"
"http://www.wikidata.org/entity/Q2501239","Rigs of Rods","http://commons.wikimedia.org/wiki/Special:FilePath/Rigs%20of%20Rods%20TurboTwin.jpg","https://en.wikipedia.org/wiki/Rigs_of_Rods","2011-11-01T00:00:00Z"
"http://www.wikidata.org/entity/Q1440462","The Lord of the Rings: War in the North","http://commons.wikimedia.org/wiki/Special:FilePath/View%20from%20DNF%20line%202%20%284956471292%29.jpg","https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_War_in_the_North","2011-11-01T00:00:00Z"
"http://www.wikidata.org/entity/Q618266","Payday: The Heist","http://commons.wikimedia.org/wiki/Special:FilePath/E3%202011%20-%20Payday-%20the%20Heist%20%28Sony%20Online%20Entertainment%29%20%285822673068%29.jpg","https://en.wikipedia.org/wiki/Payday:_The_Heist","2011-10-18T00:00:00Z"
"http://www.wikidata.org/entity/Q31560","Forza Motorsport 4","http://commons.wikimedia.org/wiki/Special:FilePath/E3%202011%20-%20Forza%20Motorsport%204%20%28Xbox%29%20%285822123385%29.jpg","https://no.wikipedia.org/wiki/Forza_Motorsport_4","2011-10-14T00:00:00Z"
"http://www.wikidata.org/entity/Q776131","Just Dance 3","http://commons.wikimedia.org/wiki/Special:FilePath/Just%20Dance%20Wondercon%202010.jpg","https://en.wikipedia.org/wiki/Just_Dance_3","2011-10-11T00:00:00Z"
"http://www.wikidata.org/entity/Q2055688","Dead Rising 2: Off the Record","http://commons.wikimedia.org/wiki/Special:FilePath/E3%202011%20-%20Dead%20Rising%202-%20Off%20the%20Record%20%28Capcom%29%20%285822673518%29.jpg","https://en.wikipedia.org/wiki/Dead_Rising_2:_Off_the_Record","2011-10-11T00:00:00Z"
"http://www.wikidata.org/entity/Q7644782","Supremacy MMA","http://commons.wikimedia.org/wiki/Special:FilePath/Felice%20Herrig%20fighting%20at%20Muay%20Thai%20Mayhem%20XIV.jpg","https://en.wikipedia.org/wiki/Supremacy_MMA","2011-09-20T00:00:00Z"
"http://www.wikidata.org/entity/Q19599759","Super Smash Land","http://commons.wikimedia.org/wiki/Special:FilePath/Super%20Smash%20Land%20title%203608.png","https://en.wikipedia.org/wiki/Super_Smash_Land","2011-09-14T00:00:00Z"
"http://www.wikidata.org/entity/Q1180815","Dead Island","http://commons.wikimedia.org/wiki/Special:FilePath/Dead%20Island%20at%20the%202011%20New%20York%20Comic%20Con%20%286254213788%29.jpg","https://en.wikipedia.org/wiki/Dead_Island","2011-09-06T00:00:00Z"
"http://www.wikidata.org/entity/Q4048375","Rock of Ages","http://commons.wikimedia.org/wiki/Special:FilePath/Rock%20of%20Ages%20-%20Rococo.jpg","https://en.wikipedia.org/wiki/Rock_of_Ages_(video_game)","2011-08-31T00:00:00Z"
"http://www.wikidata.org/entity/Q1563815","Blocks That Matter","http://commons.wikimedia.org/wiki/Special:FilePath/Niveau%20de%20Blocks%20That%20Matter.jpg","https://en.wikipedia.org/wiki/Blocks_That_Matter","2011-08-19T00:00:00Z"
"http://www.wikidata.org/entity/Q3536020","Toy Soldiers: Cold War","http://commons.wikimedia.org/wiki/Special:FilePath/Toy-Soldiers-Cold-War%20Brand%20ID%20crop.jpg","https://en.wikipedia.org/wiki/Toy_Soldiers:_Cold_War","2011-08-17T00:00:00Z"
"http://www.wikidata.org/entity/Q732438","Just Dance 2","http://commons.wikimedia.org/wiki/Special:FilePath/Just%20Dance%20Wondercon%202010.jpg","https://en.wikipedia.org/wiki/Just_Dance_2","2011-07-17T00:00:00Z"
"http://www.wikidata.org/entity/Q1137748","Wii Play: Motion","http://commons.wikimedia.org/wiki/Special:FilePath/Wii%20Play%20Motion%20Logo.jpg","https://en.wikipedia.org/wiki/Wii_Play:_Motion","2011-07-07T00:00:00Z"
"http://www.wikidata.org/entity/Q3020522","Dead Block","http://commons.wikimedia.org/wiki/Special:FilePath/Dead%20Block%20box%20art.jpg","https://en.wikipedia.org/wiki/Dead_Block","2011-07-06T00:00:00Z"
"http://www.wikidata.org/entity/Q2004413","F.E.A.R. 3","http://commons.wikimedia.org/wiki/Special:FilePath/View%20from%20DNF%20line%202%20%284956471292%29.jpg","https://en.wikipedia.org/wiki/F.E.A.R._3","2011-06-21T00:00:00Z"
"http://www.wikidata.org/entity/Q962129","Duke Nukem Forever","http://commons.wikimedia.org/wiki/Special:FilePath/Girls%20of%20E3%202011%20No.15.jpg","https://en.wikipedia.org/wiki/Duke_Nukem_Forever","2011-06-10T00:00:00Z"
"http://www.wikidata.org/entity/Q615883","Brink","http://commons.wikimedia.org/wiki/Special:FilePath/Brink%20booth%20at%20PAX%20Prime%202010%20%284959212819%29.jpg","https://en.wikipedia.org/wiki/Brink_(video_game)","2011-05-10T00:00:00Z"
"http://www.wikidata.org/entity/Q7106422","Oscilloscoop","http://commons.wikimedia.org/wiki/Special:FilePath/OscilloScoop-iPad-1.png","https://en.wikipedia.org/wiki/Oscilloscoop","2011-05-03T00:00:00Z"
"http://www.wikidata.org/entity/Q16267795","Cart Life","http://commons.wikimedia.org/wiki/Special:FilePath/Cart%20life%20screen%201.jpg","https://en.wikipedia.org/wiki/Cart_Life","2011-05-01T00:00:00Z"
"http://www.wikidata.org/entity/Q9029865","Marvel Super Hero Squad Online","http://commons.wikimedia.org/wiki/Special:FilePath/View%20from%20DNF%20line%202%20%284956471292%29.jpg","https://en.wikipedia.org/wiki/Marvel_Super_Hero_Squad_Online","2011-04-29T00:00:00Z"
"http://www.wikidata.org/entity/Q2074880","Mortal Kombat","http://commons.wikimedia.org/wiki/Special:FilePath/Mortal%20kombat%20original%20text%20by%20sidneymadmax-d3kohts.png","https://en.wikipedia.org/wiki/Mortal_Kombat_(2011_video_game)","2011-04-19T00:00:00Z"
"http://www.wikidata.org/entity/Q349413","Homefront","http://commons.wikimedia.org/wiki/Special:FilePath/E3%202010%20Homefront%20booth.jpg","https://en.wikipedia.org/wiki/Homefront_(video_game)","2011-04-14T00:00:00Z"
"http://www.wikidata.org/entity/Q791432","Battlefield Play4Free","http://commons.wikimedia.org/wiki/Special:FilePath/Battlefield%202%20logo.jpg","https://no.wikipedia.org/wiki/Battlefield_Play4Free","2011-04-04T00:00:00Z"
"http://www.wikidata.org/entity/Q1074413","Nuclear Dawn","http://commons.wikimedia.org/wiki/Special:FilePath/Nuclear%20Dawn%20-%20Oasis%20RTS%2003.jpg","https://en.wikipedia.org/wiki/Nuclear_Dawn","2011-04-01T00:00:00Z"
