"aircraft","aircraftLabel","passengers","image","article"
"http://www.wikidata.org/entity/Q259099","Stearman XBT-17","","http://commons.wikimedia.org/wiki/Special:FilePath/Stearman%20XBT-17.jpg",""
"http://www.wikidata.org/entity/Q2342462","Stemme S6","","http://commons.wikimedia.org/wiki/Special:FilePath/Stemme%20S.6%20D-KAIR%20%289226266116%29.jpg",""
"http://www.wikidata.org/entity/Q609442","Stinson Model O","","http://commons.wikimedia.org/wiki/Special:FilePath/Stinson%20Model%20O.jpg",""
"http://www.wikidata.org/entity/Q1113801","Stipa-Caproni","","http://commons.wikimedia.org/wiki/Special:FilePath/Caproni%20Stipa%20on%20ground.jpg",""
"http://www.wikidata.org/entity/Q3459804","Sud-Ouest Corse II","","http://commons.wikimedia.org/wiki/Special:FilePath/SNCASO%20SO%2093%20left%20front%20photo%20L%27Aerophile%20December%201945.jpg",""
"http://www.wikidata.org/entity/Q2990096","Sukhoi Su-28","","http://commons.wikimedia.org/wiki/Special:FilePath/Su-25UT%20Frogfoot%2002.jpg",""
"http://www.wikidata.org/entity/Q907134","Sukhoi Su-38","","http://commons.wikimedia.org/wiki/Special:FilePath/Sukhoi%20Su-38L%20in%202002.jpg",""
"http://www.wikidata.org/entity/Q170144","Sukhoi-Gulfstream S-21","","http://commons.wikimedia.org/wiki/Special:FilePath/Sukhoi%20SSBJ%20project%20model.jpg",""
"http://www.wikidata.org/entity/Q2053975","Supermarine Nighthawk","","http://commons.wikimedia.org/wiki/Special:FilePath/Supermarine%20P.B.31E%20Nighthawk.jpg",""
"http://www.wikidata.org/entity/Q824618","Swift S-1","","http://commons.wikimedia.org/wiki/Special:FilePath/Swift%20s-1%20glider%20g-izii%20at%20kemble%20arp.jpg",""
"http://www.wikidata.org/entity/Q656003","SZD-45 Ogar","","http://commons.wikimedia.org/wiki/Special:FilePath/Pzl%20motor%20glider%20g-bebg%20arp.jpg",""
"http://www.wikidata.org/entity/Q3274066","Tachikawa Ki-74","","http://commons.wikimedia.org/wiki/Special:FilePath/Ki-74-1s.jpg",""
