"painting","paintingLabel","artist","artistLabel","year","image","article","artistArticle"
"http://www.wikidata.org/entity/Q55420951","From the Coast near Mandal","http://www.wikidata.org/entity/Q365544","Adolph Tidemand","1836-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Adolph%20Tidemand%20-%20From%20the%20Coast%20near%20Mandal%20-%20NG.M.00302-039%20-%20National%20Museum%20of%20Art%2C%20Architecture%20and%20Design.jpg","","https://no.wikipedia.org/wiki/Adolph_Tidemand"
"http://www.wikidata.org/entity/Q55416643","Fru biskop Bech","http://www.wikidata.org/entity/Q1805976","Jacob Munch","1820-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Jacob%20Munch%20-%20Fru%20biskop%20Bech%20-%20NMK.2009.0004%20-%20National%20Museum%20of%20Art%2C%20Architecture%20and%20Design.jpg","","https://no.wikipedia.org/wiki/Jacob_Munch"
"http://www.wikidata.org/entity/Q55416568","Genuesian Lady with her Son","http://www.wikidata.org/entity/Q1805976","Jacob Munch","1810-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Jacob%20Munch%20-%20Genuesian%20Lady%20with%20her%20Son%20-%20NG.M.00215%20-%20National%20Museum%20of%20Art%2C%20Architecture%20and%20Design.jpg","","https://no.wikipedia.org/wiki/Jacob_Munch"
"http://www.wikidata.org/entity/Q97011025","Gerhard Gunnerus Bergh","http://www.wikidata.org/entity/Q6514975","Mathias Stoltenberg","1831-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Stoltenberg-Gerhard%20Gunerus%20Bergh.jpg","","https://no.wikipedia.org/wiki/Matthias_Stoltenberg"
"http://www.wikidata.org/entity/Q114131582","Gerhard Munthe","http://www.wikidata.org/entity/Q2610236","Johannes Flintoe","1817-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Flintoe%20-%20Gerhard%20Munthe%20-%20Norsk%20portrettarkiv%20-%20Riksantikvaren%20-%20M000533.jpg","","https://no.wikipedia.org/wiki/Johannes_Flintoe"
"http://www.wikidata.org/entity/Q30064887","Gorge in the Sächsische Schweiz","http://www.wikidata.org/entity/Q164735","Johan Christian Dahl","1820-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Johan%20Christian%20Claussen%20Dahl%20-%20Schlucht%20in%20der%20S%C3%A4chsischen%20Schweiz%20%28Neue%20Pinakothek%2C%20M%C3%BCnchen%29.jpg","","https://no.wikipedia.org/wiki/J.C._Dahl"
"http://www.wikidata.org/entity/Q114309420","Gregers Fougner Lundh","http://www.wikidata.org/entity/Q2610236","Johannes Flintoe","1823-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Flintoe%20-%20Gregers%20Fougner%20Lundh%20-%20Norsk%20portrettarkiv%20-%20Riksantikvaren%20-%20L000409a.jpg","","https://no.wikipedia.org/wiki/Johannes_Flintoe"
"http://www.wikidata.org/entity/Q112072965","Grindelwald","http://www.wikidata.org/entity/Q1969461","Thomas Fearnley","1835-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Fearnley%20-%20Grindelwald%2C%20Switzerland.jpg","","https://no.wikipedia.org/wiki/Thomas_Fearnley"
"http://www.wikidata.org/entity/Q57923582","Grotte ved Napoli - naturstudie","http://www.wikidata.org/entity/Q164735","Johan Christian Dahl","1821-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Johan%20Christian%20Claussen%20Dahl%20-%20Grotte%20ved%20Napoli%20%281821%29.jpg","","https://no.wikipedia.org/wiki/J.C._Dahl"
"http://www.wikidata.org/entity/Q100524234","Hans Iver Horn","http://www.wikidata.org/entity/Q13426743","Frederik Petersen","1803-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Frederik%20Petersen%20-%20Portrett%20av%20Hans%20Iver%20Horn%20-%20Norsk%20portrettarkiv%20-%20Riksantikvaren%20-%20H000920.jpg","","https://no.wikipedia.org/wiki/Frederik_Petersen"
